ancien_cip13;ancien_code_barres;garde_cip13;garde_code_barres;regle;libelle
3400930278406;3400930278406;3400930323175;3400930323175;B1 groupe 121 : 3027840 remplace par 3032317;RIZMOIC 200MCG CPR PELLIC BT30
3400930238943;3400930238943;3400930238851;3400930238851;B1 groupe 124 : 3023894 remplace par 3023885;EZETIMIBE ZEN 10MG CPR BT90
3400941509377;3400941509377;3400930302019;3400930302019;B1 groupe 125 : 4150937 remplace par 3030201;EXEMESTANE ARW 25MG CPR BT30
3400930059791;3400930059791;3400930308424;3400930308424;B1 groupe 126 : 3005979 remplace par 3030842;EZETIMIBE TVC 10MG CPR BT90 DU
3400930125076;3400930125076;3400930125045;3400930125045;B1 groupe 127 : 3012507 remplace par 3012504;RASAGILINE ARW 1MG CPR BT30
3400927793066;3400927793066;3400930313046;3400930313046;B1 groupe 128 : 2779306 remplace par 3031304;OXYCODONE BGA LP 80MG CPR 28DU
3400930012284;3400930012284;3400930303344;3400930303344;B1 groupe 130 : 3001228 remplace par 3030334;EUROBIOL 40000U GELU FV50
3400930059760;3400930059760;3400930308400;3400930308400;B1 groupe 133 : 3005976 remplace par 3030840;EZETIMIBE TVC 10MG CPR BT30 DU
3400930276211;3400930276211;3400930270202;3400930270202;B1 groupe 137 : 3027621 remplace par 3027020;RIVAROXABAN VIA 20MG CPR BT28
3400938090734;3400938090734;3400927915376;3400927915376;B1 groupe 138 : 3809073 remplace par 2791537;CLARITHROMYCINE ARW 500MG CP14
3400927836503;3400927836503;3400930237786;3400930237786;B1 groupe 139 : 2783650 remplace par 3023778;MONTELUKAST ARW 4MG GLE SACH28
3400960966663;3662042004902;3400942009005;3662042009006;B1 groupe 140 : 6096666 remplace par 4200900;THEALOSE SOL OPHT UNID 30 T
3400938090673;3400938090673;3400930303115;3400930303115;B1 groupe 142 : 3809067 remplace par 3030311;CLARITHROMYCINE ARW 500MG CP10
3400936677852;3400936677852;3400930313886;3400930313886;B1 groupe 143 : 3667785 remplace par 3031388;GABAPENTINE TVC 100MG GELU 90
3400936677333;3400936677333;3400930171301;3400930171301;B1 groupe 147 : 3667733 remplace par 3017130;CITALOPRAM ARW 20MG CPR BT30
3400938088373;3400938088373;3400930303108;3400930303108;B1 groupe 149 : 3808837 remplace par 3030310;CLARITHROMYCINE ARW 250MG CP10
3400930086988;3400930086988;3400930053782;3400930053782;B1 groupe 153 : 3008698 remplace par 3005378;ROSUVASTATINE VIA 5MG CPR FL30
3400930241257;3400930241257;3400930241219;3400930241219;B1 groupe 159 : 3024125 remplace par 3024121;BILASTINE BGA 20MG CPR BT30 DU
3400930227992;3400930227992;3400930227947;3400930227947;B1 groupe 162 : 3022799 remplace par 3022794;BILASTINE TVC 20MG CPR BT30
3400926615109;3400926615109;3400930242957;3400930242957;B1 groupe 164 : 2661510 remplace par 3024295;CICLOPIROX OLAM.TVC 1% CR T30G
3400936209503;3400936209503;3400930276563;3400930276563;B1 groupe 170 : 3620950 remplace par 3027656;ALPRAZOLAM TVC 0,50MG CPR BT30
3400934563157;3400934563157;3400930271278;3400930271278;B1 groupe 171 : 3456315 remplace par 3027127;ALPRAZOLAM ARW 0,25MG CPR BT30
