CIP7;CIP13;EAN;Libellé;Prix HT Catalogue;Prix HT Remisé;Gabarit;Mini de commande;Gamme;Sous Gamme;Seuil n° 1;Prix HT remisé 1;Seuil n° 2;Prix HT remisé 2;Seuil n° 3;Prix HT remisé 3
;3400932223794;;NERISONE CR TB30G;2,11;1,93;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400934136139;;XOLAAM CPR CROQ BT40;1,68;1,50;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400936918498;;DIASEPTYL 0,5% SOL PULV 125ML;2,53;2,35;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400927956478;;DULCILARMES 1,5% COLLY DOS 60;5,00;4,81;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400930121443;;LEVOTHYROX 125MCG CPR BT90 EXC;5,87;5,64;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400933316778;;DAFALGAN CODEINE CPR EFFV TB16;1,56;1,38;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930514177;;HYDROCORTISONE RSL 10MG CPR 25;1,79;1,61;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930270295;;SULFARLEM S 25MG CPR BT90;3,72;3,72;;;INTEGRAL TOP 300;Non remboursés;;;;;;
;3400933728489;;PREXIDINE 0,12% BAIN BCHE200ML;2,00;1,82;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400932350865;;KAYEXALATE PDR BT454G;19,68;18,91;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
