CIP13;DESIGNATION;PRIX ACHAT U HT
3400932008056;SINEMET 100MG/10MG CPR BT100;5,30
3400930292976;MOUNJARO 15MG INJ STYLO KWIKPEN 1;389,08
3400933783488;LOMEXIN 600MG CAPS VAG BT1;2,84
3400930192252;AURICULARUM AURIC FL+AMP 1;4,58
3400935279897;DYNEXAN 2% PATE GGVL TB10G;3,02
3400936789784;EFFIZINC 15MG GELU BT60;5,88
3400930119778;L-THYROXIN HNG 50MCG CPR BT100;2,55
3400930018064;SYNJARDY 5MG/1000MG CPR BT60DU;32,39
3401042329192;OPTIVE GTT LUBR FL10ML T;5,61
3400933521134;LACRIGEL GEL OPHT TB10G;2,52
3400935931016;LIPOSIC GEL OPHT TB10G 1;1,96
3400934936708;SOLUPRED 5MG CPR ORODISP BT30;1,96
3400933696511;LARMES ARTIF. MARTINET CY 10ML;1,05
