CIP7;CIP13;EAN13;Laboratoire;Gamme;Libellé;TVA;Prix A HT;Remise1;Colisage;QteMin
;;8032472013204;Aboca;Neobianacid;NEOBIANACID Cpr à sucer B/14;0.2;6.53;0.05;6;1
;;8032472019398;Aboca;Neobianacid;NEOBIANACID Glé 20Sach/1,55g;0.2;9.04;0.05;6;1
;;8032472023920;Aboca;Neobianacid;NEOBIANACID Cpr à sucer Fl/70;0.2;14.35;0.05;6;1
;;8032472017318;Aboca;Oroben;OROBEN Bain bouche Fl/150ml;0.2;7.88;0.05;6;1
;;8032472017325;Aboca;Oroben;OROBEN Gel oral T/15ml;0.2;7.29;0.05;6;1
;;8032472029687;Aboca;Salvigorge;SALVIGORGE 2ACT Cpr à sucer B/20;0.2;6.65;0.05;6;1
;;8032472029694;Aboca;Salvigorge;SALVIGORGE 2ACT Spray Fl/30ml;0.2;8.28;0.05;6;1
;;8032472029717;Aboca;Salvigorge;SALVIGORGE 2ACT Spray sans alcool Fl/30ml;0.2;8.28;0.05;6;1
;;8032472023647;Aboca;Sedivitax;SEDIVITAX PRONIGHT ADVANCED Cpr B/27;0.055;9.82;0.05;6;1
;;8032472039013;Aboca;Sedivitax;SEDIVITAX CALMSTRESS Gél B/30;0.055;10.88;0.05;1;1
;;8032472020479;Aboca;Sollievo;SOLLIEVO PHYSIOLAX Cpr Fl/27;0.2;6.36;0.05;6;1
;;8032472020486;Aboca;Sollievo;SOLLIEVO PHYSIOLAX Cpr Fl/45;0.2;8.11;0.05;6;1
;;8032472021094;Aboca;Sollievo;SOLLIEVO PHYSIOLAX Cpr Fl/90;0.2;11.61;0.05;6;1
;3400930065099;;Accord Healthcare;Non renseigné;Tadalafil 5mg Bte de 28 cp Accord;0.1;40;0.91;192;1
;3400930065112;;Accord Healthcare;Non renseigné;Tadalafil 5mg Bte de 84 cp Accord;0.1;120;0.91;72;1
;3400930065136;;Accord Healthcare;Non renseigné;Tadalafil 10mg Bte de 4 cp Accord;0.1;30;0.93;240;1
;3400930065150;;Accord Healthcare;Non renseigné;Tadalafil 20mg Bte de 4 cp Accord;0.1;30;0.93;240;1
;3400930065167;;Accord Healthcare;Non renseigné;Tadalafil 20mg Bte de 8 cp Accord;0.1;60;0.93;240;1
