CIP7;CIP13;EAN13;Prix A HT;Remise1;Libellé;Colisage
3006687;3400930066874;;1.44;0;ARTANE 2 mg Cpr B/50;1
3115755;3400931157557;;1.74;0;EXACYL 1 g/10 ml S buv 5Amp/10ml;1
3281100;3400932811007;;9.49;0.22;OSCILLOCOCCINUM Gran en récipient unidose 6Unidoses;1
3484151;3400934841514;;9.35;0;UN-ALFA 1 µg Caps orale 2Plq/15 (30);1
3174717;3400931747178;;1.18;0;PARKINANE LP 2 mg Gél LP Plq/50;1
3061700;3400930617007;;12.44;0.22;CREME CALENDULA Cr Pot/20g;1
7375766;3401073757667;;3.01;0.25;COALGAN Ouate hémost 5Sach/0,40g;1
3174723;3400931747239;;1.18;0;PARKINANE LP 5 mg Gél LP Plq/20;1
3043056;3400930430569;;9.18;0.22;GASTROCYNESINE Cpr B/60;1
4079783;3401340797839;;8.95;0.25;PURESSENTIEL ANTI-POUX Shamp poudx bio 200ml;1
3202276;3400932022762;;3.07;0;GYNO PEVARYL 150 mg Ov B/3;1
3172463;3400931724636;;6.95;0;SINEMET 250 mg/25 mg Cpr séc Plq/50;1
3346785;3400933467852;;20.35;0;NICOTINELL TTS 7 mg/24 h Disp transderm 28Sach;1
3346839;3400933468392;;20.35;0;NICOTINELL TTS 14 mg/24 h Disp transderm 28Sach;1
3346874;3400933468743;;20.35;0;NICOTINELL TTS 21 mg/24 h Disp transderm 28Sach;1
3332754;3400933327545;;13.77;0;PULMICORT TURBUHALER 200 µg/dose Pdr pour inhalation Fl/200doses;1
3296917;3400932969173;;3.43;0;PHYSIOGINE 0,1 % Cr vag T/15g+applicateur;1
3292687;3400932926879;;6.24;0.16;ALKA SELTZER 324 mg Cpr eff B/20;1
3341894;3400933418946;;5.82;0;MYCOSTER 8 % S appl cut Fl/3ml+pinceau;1
3294806;3400932948062;;5.39;0;CLOPIXOL ACTION PROLONGEE 200 mg/ml S inj IM Amp/1ml;1
3344958;3400933449582;;12.81;0;PERMIXON 160 mg Gél Plq/60;1
3348040;3400933480400;;4.69;0;LODINE 300 mg Cpr pell B/20;1
3350060;3400933500603;;7.19;0.3;DRILL Past à sucer miel rosat Plq/24;1
3352484;3400933524845;;9.6;0;CHIBRO-PROSCAR 5 mg Cpr pell Plaq/28;1
3338461;3400933384616;;1.69;0;FLECTOR 1 % Gel T/60g;1
3424367;3400934243677;;1.4;0;OROMONE 2 mg Cpr pell Plq/28;1
3336284;3400933362843;;4.24;0.45;EAU OXYGENEE GIFRER 10 vol S appl cut Fl plast/250ml;1
3046221;3400930462218;;7.3;0.3;GRANIONS DE BISMUTH 2 mg/2 ml S buv 10Amp/2ml;1
4706783;3401547067834;3595894706789;3.53;0.25;SOLENS SUCRES CUITS Past miel;1
3834183;3400938341836;;16.3;0.23;DAFLON 500 mg Cpr pell Plq/60;1
3832244;3400938322446;;4.59;0;AVAMYS 27,5 µg/pulverisation Susp pulv nas Fl/120pulv;1
4704821;;4042809036572;4.11;0.3;TENSOPLAST HB Bde adh élast 3cmx2,5m;1
4704838;;4042809036602;6;0.3;TENSOPLAST HB Bde adh élast 6cmx2,5m;1
4704844;;4042809036633;7.22;0.3;TENSOPLAST HB Bde adh élast 8cmx2,5m;1
4704850;;4042809036664;8.76;0.3;TENSOPLAST HB Bde adh élast 10cmx2,5m;1
3830848;3400938308488;;355.12;0;ISENTRESS 400 mg Cpr pell Fl/60;1
7710182;3401377101821;3337871310455;8.8;0.17;*VICHY Déod cr anti-transp 7j T/30ml;1
3074298;3400930742983;;9.31;0;NOZINAN 100 mg Cpr pell séc 2Plq/10;1
3353153;3400933531539;;2.02;0;ASPIRINE UPSA TAMPONNEE EFFERVESCENTE 1000 mg Cpr eff 2T/10;1
3335497;3400933354978;;3.67;0.14;KETUM 2,5 % Gel appl locale T/60g;1
3349677;3400933496777;;4.72;0;TIORFAN 100 mg Gél Plq/20;1
3357211;3400933572112;;4.32;0;MONO TILDIEM LP 300 mg Gél LP Plq/28;1
3356938;3400933569389;;5.36;0;SINEMET LP 200 mg/50 mg Cpr LP Plq/30;1
3291392;3400932913923;5000174845235;10.9;0.1;FLUODONTYL 1350 mg Pâte dentifrice T/75ml;1
3020049;3400930200490;;8.2;0.12;CERULYSE 5 % S aur Fl/10ml;1
3200805;3400932008056;;5.29;0;SINEMET 100 mg/10 mg Cpr Plq/100;1
3473986;3400934739866;;5.21;0;LEVOPHTA 0,05 % Collyre Fl/5ml;1
3173959;3400931739593;;5.89;0.2;SOLACY Gél adulte 3Plq/15 (45);1
3359173;3400933591731;;26.2;0.2;CHONDROSULF 400 mg Gél Plq/84;1
3359598;3400933595982;;4.47;0;BREXIN 20 mg Cpr séc Plq/14;1
3360957;3400933609573;;4.47;0;CYCLADOL 20 mg Cpr séc Plq/14;1
3311686;3400933116866;;1.71;0;LYSANXIA 15 mg/ml S buv en gouttes Fl/20ml;1
3130737;3400931307372;;1.23;0;NORMACOL LAVEMENT S rect en récipient unidose adulte Fl/130ml;1
3049544;3400930495445;;6.3;0.1;HEXOMEDINE 1 POUR MILLE S appl loc Fl/45ml;1
3486799;3400934867996;;7.45;0.25;DESOMEDINE 0,1 % Collyre sol 10Fl/0,6ml;1
3229683;3400932296835;;8.5;0.25;AURIGOUTTE gte auric Fl/15ml;1
3081996;3400930819968;;1.03;0;PERNAZENE 0,05 % S pulv nas Néb/12ml;1
3358995;3400933589950;;4.35;0;OROKEN 40 mg Pdr susp buv en flacon nourrisson Fl/80Doses;1
3358989;3400933589899;;5.87;0;OROKEN 100 mg Pdr susp buv en flacon enfant Fl/200doses;1
3278173;3400932781737;;3.21;0;LOXEN 20 mg Cpr séc Plq/30;1
3270906;3400932709069;;2.92;0;RENITEC 20 mg Cpr Plq/28;1
3368976;3400933689766;;5.53;0;MIGPRIV Pdr sol buv en sachet 6Sach;1
3352082;3400933520823;;7.63;0.1;RECTOPANBILINE Suppos adulte 1Plq/10;1
3407707;3400934077074;;3.45;0.45;EAU OXYGENEE GIFRER 10 vol S appl cut Fl plast/125ml;1
3286741;3400932867417;;4.49;0;ISOPTINE LP 240 mg Cpr pell séc LP Plq/30;1
3345780;3400933457808;;12.67;0;SEREVENT 25 µg Susp inh bucc en fl pressurisé Fl/120doses;1
3383059;3400933830595;;6.12;0;ALLERGODIL 0,127 mg S pulv nas Fl/17ml;1
3357599;3400933575991;;8.43;0;ALFATIL LP 500 mg Cpr pell LP Plq/8;1
3372848;3400933728489;;1.82;0;PREXIDINE 0,12 % S bain bouche Fl/200ml;1
3478328;3400934783289;;9.1;0;CORGARD 80 mg Cpr séc Plq/28;1
3246049;3400932460496;;3.14;0;VOLTARENE LP 100 mg Cpr enr LP B/15;1
3323152;3400933231521;;4.8;0.24;ADVIL 200 mg Cpr enr Plq/3x10 (30);1
3482382;3400934823824;;5.75;0.2;ELUDRILPRO S bain bouche Fl/200ml;1
3512143;3400935121431;;9.69;0.2;ELUDRILPRO S bain bouche Fl/500ml;1
3297584;3400932975846;;2.91;0;PROKINYL LP 15 mg Gél LP Plq/30;1
3150272;3400931502722;;13.41;0;QUESTRAN 4 g Pdr or en sachet 50Sach;1
3323407;3400933234072;3574660550498;8.32;0.2;LANSOYL 78,23 g % Gel oral sans sucre en pot Pot/215g;1
3366291;3400933662912;;0.89;0;MINI-SINTROM 1 mg Cpr Plq/20;1
3356571;3400933565718;;44.45;0.12;HYALGAN 20mg/2ml S inj ser prér Ser/2ml;1
3075079;3400930750797;;8.1;0.25;OLIGOSOL Cuivre Or Argent Sol buv en flacon Fl/60ml;1
3050346;3400930503461;;6.99;0.22;HOMEOGENE 9 Cpr B/60;1
3352538;3400933525385;;1.98;0;DEROXAT 20 mg Cpr pell séc Plq/14;1
3359204;3400933592042;;3.91;0;VOLTARENE LP 75 mg Cpr enr LP Plq/30;1
7797763;3401077977634;3582910005650;7.76;0.15;PHYSIOMER S nas Ad/Enf Brumis/135ml;1
3380977;3400933809775;;4.62;0;IDEOS 500 mg/400 UI Cpr à croquer/sucer T/60;1
3383496;3400933834968;;6.89;0.35;BIOCIDAN 0,1 mg/0,4 ml Collyre récip unidose 10unid/0,4ml;1
3272443;3400932724437;;7.28;0.2;CARBOSYLANE Gél 4Plq/12+12;1
3292492;3400932924929;;2.2;0;KETODERM 2 % Cr T/15g;1
3380888;3400933808884;;15.74;0;AMYCOR ONYCHOSET Pom T/10g+20Pans;1
3078385;3400930783856;;8.52;0.22;PARAGRIPPE Cpr 3Plq/20;1
3164854;3400931648543;;2.46;0;NEBCINE 25 mg S inj Fl/2,5ml;1
3046563;3400930465639;;21.07;0.16;GURONSAN Cpr eff T/30;1
3259520;3400932595204;;8.06;0.3;KERAFILM S appl loc Fl/10ml;1
3076417;3400930764176;;11.27;0.25;OSMOGEL Gel loc T/90g;1
3130743;3400931307433;;1.01;0;NORMACOL LAVEMENT S rect en récipient unidose enfant Fl/60ml;1
3387873;3400933878733;;4.62;0;CACIT VITAMINE D3 1000 mg/880 UI Glé eff en sachet 30Sach/8g;1
3380724;3400933807245;;10.46;0;TRINIPATCH 5 mg/24 h Disp transderm (22,4 mg / 7 cm²) 30Sach/1dispo;1
3270591;3400932705917;;6.5;0.1;FERVEX Glé s buv en sachet adulte 8Sach;1
3380730;3400933807306;;11.39;0;TRINIPATCH 10 mg/24 h Disp transderm (44,8 mg / 14 cm2) 30Sach/1dispo;1
3377343;3400933773434;;9.8;0;FORADIL 12 µg Pdr p inh (gélule) Plq/60gélules+inh;1
3383361;3400933833619;;4.84;0;SEROPRAM 20 mg Cpr pell séc Plq/28;1
3378348;3400933783488;;2.84;0;LOMEXIN 600 mg Caps molle vaginale Plq/1;1
3338308;3400933383084;;1.59;0;LOMEXIN 2 % Cr T/15g;1
3383088;3400933830885;;4.62;0;CALCIDOSE VITAMINE D3 500 mg/400 UI Pdr sol buv en sachet 60Sach;1
3563494;3400935634948;;24.91;0;DAIVONEX 50 µg/g Cr T/120g;1
3377320;3400933773205;;13.09;0;BECLOJET 250 µg/dose S p inh en fl press Fl/200doses;1
3389978;3400933899783;;5.63;0.15;FORLAX 10 g Pdr sol buv en sachet 20Sach;1
3228577;3400932285778;;7.95;0.13;STRESAM Gél 3Plq/20 (60);1
2189800;3400921898002;;9.4;0.16;LERGYPAX Cpr orodisp B/40;1
3438524;3400934385247;;5.2;0;CLIMASTON 2 mg/10 mg Cpr pell Plq/28 (2x14);1
3563442;3400935634429;;9.21;0;EPITOMAX 100 mg Cpr pell Plq thermo/28;1
3392236;3400933922368;;4.62;0;CALCIDOSE Pdr susp buv en sachet 60Sach;1
3400102;3400934001024;;8.55;0.25;MOVICOL Pdr sol buv citron en sachet Sach/20;1
3050429;3400930504291;;7.14;0.22;HOMEOVOX Cpr enr B/60;1
3385207;3400933852078;;2.92;0;HYZAAR 50 mg/12,5 mg Cpr pell Plq /28;1
3379744;3400933797447;;2.46;0;CELLUVISC 4 mg/0,4 ml Collyre 30unid/0,4ml;1
3034844;3400930348444;;1.29;0;EDUCTYL Suppos effervescent adultes Plq/12;1
3245400;3400932454006;;3.1;0;ARTISIAL S pulv endobucc Spray/100ml;1
3281643;3400932816439;;7.88;0.2;ACTISOUFRE 4 mg/50 mg par 10 ml Susp buv/nas 30Amp/10ml;1
3006517;3400930065174;;5.88;0.2;BAUME AROMA Cr T/50g;1
3297578;3400932975785;;4.5;0;LOGIRENE Cpr séc Plq/30;1
3306857;3400933068578;;3.77;0;RUBOZINC 15 mg Gél 3Plq/10 (30);1
